Variable,ID,Key,Lfirst,Lsecond,Ufirst,Usecond,Vfirst,Vsecond,SynCon
Label,Participant,Key,First L,Second L,First U,Second U,First V,Second V,Synaesthete or control
,1,A major,93.53,91.99,17.04,21.17,101.64,99.44,1.00
,1,Ab major,86.93,86.93,35.49,35.49,92.09,92.09,1.00
,1,Bb Major,62.26,41.38,-33.59,-14.09,-95.25,-132.37,1.00
,1,C Major,53.24,53.24,175.01,175.01,37.76,37.76,1.00
,1,D Major,28.67,21.03,-8.35,-6.24,-115.72,-84.89,1.00
,1,E major,95.49,95.84,-0.01,-0.01,-0.01,-0.01,1.00
,1,Eb major,71.68,71.68,-67.87,-67.87,87.74,87.74,1.00
,1,F major,86.93,97.14,35.49,7.70,92.09,106.79,1.00
,1,G major,71.68,79.95,-67.87,-75.71,87.74,97.87,1.00
,2,A major,97.14,86.93,7.70,35.49,106.79,92.09,1.00
,2,Ab major,87.76,69.24,-0.01,0.00,-0.01,-0.01,1.00
,2,Bb Major,39.12,28.09,107.54,92.33,23.20,19.92,1.00
,2,C Major,99.29,99.64,1.66,0.82,23.09,11.38,1.00
,2,D Major,24.98,24.98,-7.27,-7.27,-100.79,-100.79,1.00
,2,E major,46.23,64.00,-43.77,-55.65,56.59,77.74,1.00
,2,Eb major,31.26,31.26,-14.17,-14.17,-3.06,-3.06,1.00
,2,F major,77.02,77.02,27.81,27.81,38.58,38.58,1.00
,2,G major,53.24,53.24,175.01,175.01,37.76,37.76,1.00
,3,A Major,78.98,66.57,-48.94,-33.76,-49.60,-84.24,1.00
,3,Ab Major,32.17,15.86,-12.60,-3.56,-85.11,-49.30,1.00
,3,Bb Major,0.00,0.00,0.00,0.00,0.00,0.00,1.00
,3,C Major,86.93,86.93,35.49,35.49,92.09,92.09,1.00
,3,D major,79.95,76.98,-75.71,-56.02,97.87,74.30,1.00
,3,E Major,55.96,49.82,155.92,146.44,33.64,20.87,1.00
,3,Eb Major,32.82,22.23,88.40,50.31,19.07,10.85,1.00
,3,F Major,42.19,42.19,18.34,18.34,-113.17,-113.17,1.00
,3,G Major,37.70,53.77,10.07,83.73,36.13,45.82,1.00
,4,A Major,50.59,65.79,-43.13,-49.64,55.75,-3.88,1.00
,4,Ab Major,22.55,40.93,14.15,-9.89,23.29,-29.11,1.00
,4,Bb Major,54.19,41.40,62.33,94.44,52.52,18.36,1.00
,4,C Major,63.86,63.86,94.81,94.81,58.10,58.10,1.00
,4,D major,39.11,39.11,107.57,107.57,23.20,23.20,1.00
,4,E Major,76.54,91.96,-25.50,-41.04,81.71,102.71,1.00
,4,Eb Major,45.50,46.23,-39.93,-43.77,54.45,56.59,1.00
,4,F Major,32.30,32.30,-9.40,-9.40,-130.36,-130.36,1.00
,4,G Major,74.93,50.91,74.85,115.34,74.00,42.44,1.00
,5,A Major,74.94,69.70,74.84,51.84,74.00,-67.04,1.00
,5,Ab Major,43.80,69.24,60.94,0.00,30.78,-0.01,1.00
,5,Bb Major,43.38,70.82,29.86,44.36,-94.56,69.99,1.00
,5,C Major,74.94,74.94,74.84,74.84,74.00,74.00,1.00
,5,D major,53.24,53.24,175.01,175.01,37.76,37.76,1.00
,5,E Major,73.95,43.80,61.83,60.94,51.56,30.78,1.00
,5,Eb Major,63.61,77.02,28.56,27.81,6.16,38.59,1.00
,5,F Major,51.53,54.65,-38.62,-17.45,31.47,57.44,1.00
,5,G Major,57.58,74.94,151.04,74.84,45.49,74.00,1.00
,6,Ab Major,32.90,42.19,12.98,18.34,-67.76,-113.17,1.00
,6,Bb Major,80.05,43.38,-16.28,29.86,-17.24,-94.56,1.00
,6,C Major,90.75,72.55,-47.47,-49.27,61.36,-67.02,1.00
,6,D major,79.73,59.38,-32.99,-32.81,-44.28,-102.27,1.00
,6,E Major,59.38,32.30,-32.81,-9.40,-102.27,-130.36,1.00
,6,Eb Major,20.47,32.90,10.08,12.98,-61.34,-67.76,1.00
,6,F Major,98.57,98.57,-7.54,-7.54,9.73,9.73,1.00
,6,G Major,53.23,74.93,175.05,74.85,37.75,74.00,1.00
,7,A Major,23.93,0.00,32.66,0.00,19.84,0.00,1.00
,7,Ab Major,43.80,28.09,60.94,92.33,30.78,19.92,1.00
,7,Bb Major,44.41,53.59,0.00,0.00,-0.01,-0.01,1.00
,7,C Major,100.00,100.00,-0.01,-0.01,-0.01,-0.01,1.00
,7,D major,39.12,39.12,107.54,107.54,23.20,23.20,1.00
,7,E Major,74.14,73.95,6.28,61.83,77.65,51.56,1.00
,7,Eb Major,82.83,86.93,27.00,35.49,87.52,92.09,1.00
,7,F Major,59.38,59.38,-32.82,-32.82,-102.27,-102.27,1.00
,7,G Major,99.64,99.64,0.82,0.82,11.38,11.38,1.00
,8,A Major,97.14,83.87,7.70,-62.23,106.79,-35.16,1.00
,8,Ab Major,56.65,46.08,97.58,97.05,50.96,39.30,1.00
,8,Bb Major,41.85,34.13,34.58,89.45,31.18,24.46,1.00
,8,C Major,95.37,94.10,-35.41,-46.14,-5.24,-9.97,1.00
,8,D major,93.61,88.97,-37.27,-73.21,48.17,86.20,1.00
,8,E Major,59.25,58.61,142.44,145.09,48.38,45.69,1.00
,8,Eb Major,59.74,23.42,66.85,53.56,25.01,19.46,1.00
,8,F Major,68.35,67.75,36.54,8.05,-39.89,-60.63,1.00
,8,G Major,46.23,46.34,-43.77,-43.30,56.59,52.10,1.00
,9,A Major,72.09,69.48,85.16,95.87,67.41,65.40,1.00
,9,Ab Major,57.39,56.51,118.88,76.62,49.18,53.35,1.00
,9,Bb Major,27.59,27.59,-26.13,-26.13,33.78,33.78,1.00
,9,C Major,64.98,57.97,92.85,122.36,-27.97,-24.17,1.00
