#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant,Open,,
,VARIABLES,ID,open-ended verbatim,,,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],Key,Open,,
,VARIABLES,Key,open-ended verbatim,,,
,VALUES,,,,,
,,,,,,
,,,,,,
3,QUESTION,[...],First L,Quantity,,
,VARIABLES,Lfirst,,[0 to 999],,
,VALUES,,,,,Missings: 999 to 999
,,,,,,
,,,,,,
4,QUESTION,[...],Second L,Quantity,,
,VARIABLES,Lsecond,,[0 to 100],,
,VALUES,,,,,Missings: 999 to 999
,,,,,,
,,,,,,
5,QUESTION,[...],First U,Quantity,,
,VARIABLES,Ufirst,,"[-82,12 to 999]",,
,VALUES,,,,,Missings: 999 to 999
,,,,,,
,,,,,,
6,QUESTION,[...],Second U,Quantity,,
,VARIABLES,Usecond,,"[-77,63 to 175,01]",,
,VALUES,,,,,Missings: 999 to 999
,,,,,,
,,,,,,
7,QUESTION,[...],First V,Quantity,,
,VARIABLES,Vfirst,,"[-130,36 to 999]",,
,VALUES,,,,,Missings: 999 to 999
,,,,,,
,,,,,,
8,QUESTION,[...],Second V,Quantity,,
,VARIABLES,Vsecond,,"[-133,55 to 106,79]",,
,VALUES,,,,,Missings: 999 to 999
,,,,,,
,,,,,,
9,QUESTION,[...],Synaesthete or control,Single,,
,VARIABLES,SynCon,,1 to 2,,
,VALUES,1,Synaesthete,1 to 1,,
,,2,Control,2 to 2,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
