Variable,Part,RGBScores,LUVscores,SYNCON
Label,Participant,RGB vector distance score,LUV vectors distance scores,Synaesthete or Control
,1,23.00,14.69,1.00
,2,30.47,12.49,1.00
,3,48.00,27.00,1.00
,4,60.00,29.00,1.00
,5,60.00,32.00,1.00
,6,83.00,33.00,1.00
,7,38.00,18.00,1.00
,8,65.00,27.00,1.00
,9,29.00,18.00,1.00
,10,173.00,102.00,2.00
,11,140.00,68.00,2.00
,12,98.00,66.00,2.00
,13,120.00,66.00,2.00
,14,127.00,90.00,2.00
,15,104.00,60.00,2.00
,16,147.00,77.00,2.00
,17,137.00,103.00,2.00
,18,173.00,99.00,2.00
