#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant,Quantity,,
,VARIABLES,Part,,[1 to 18],,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],RGB vector distance score,Quantity,,
,VARIABLES,RGBScores,,[23 to 173],,
,VALUES,,,,,
,,,,,,
,,,,,,
3,QUESTION,[...],LUV vectors distance scores,Quantity,,
,VARIABLES,LUVscores,,"[12,49 to 103]",,
,VALUES,,,,,
,,,,,,
,,,,,,
4,QUESTION,[...],Synaesthete or Control,Single,,
,VARIABLES,SYNCON,,1 to 2,,
,VALUES,1,Synaesthete,1 to 1,,
,,2,Control,2 to 2,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
