Variable,IDCODE,Congruency,Mode,STIMULI,Correctans,RToriginal,RTcorrected
Label,Participant code,Congruency,"Treble, Bass, Word",Stimuli image,Answer correct or incorrect,Reaction time original (ms),Reaction time corrected for errors and 3SDs (ms)
,1,0,1,Fmajorblue,1.00,907.00,907.00
,1,0,1,Cmajoryellow,1.00,1092.00,1092.00
,1,0,1,Bbmajoryellow,1.00,1165.00,1165.00
,1,0,1,Abmajorgrey,1.00,1199.00,1199.00
,1,0,1,Emajorred,1.00,1304.00,1304.00
,1,0,1,Gmajorskyblue,1.00,1522.00,1522.00
,1,0,1,Ebmajorgold,1.00,2138.00,2138.00
,1,0,1,Amajorgreen,1.00,2328.00,2328.00
,1,0,1,Dmajorgreen,1.00,2732.00,2732.00
,1,1,1,Cmajorred,1.00,944.00,944.00
,1,1,1,Gmajorgreen,1.00,966.00,966.00
,1,1,1,Fmajorgold,1.00,1211.00,1211.00
,1,1,1,Bbmajorskyblue,1.00,1302.00,1302.00
,1,1,1,Emajorgrey,1.00,1395.00,1395.00
,1,1,1,Ebmajorgreen,1.00,1439.00,1439.00
,1,1,1,Amajoryellow,1.00,1464.00,1464.00
,1,1,1,Dmajorblue,1.00,1547.00,1547.00
,1,1,1,Abmajoryellow,1.00,1721.00,1721.00
,1,0,2,BassGmajorskyblue,1.00,1058.00,1058.00
,1,0,2,BassCmajoryellow,1.00,1127.00,1127.00
,1,0,2,BassAbmajorgrey,1.00,1291.00,1291.00
,1,0,2,BassDmajorgreen,1.00,1404.00,1404.00
,1,0,2,BassEmajorred,1.00,1554.00,1554.00
,1,0,2,BassAmajorgreen,1.00,1595.00,1595.00
,1,0,2,BassBbmajoryellow,1.00,2221.00,2221.00
,1,0,2,BassEbmajorgold,1.00,2475.00,2475.00
,1,0,2,BassFmajorblue,1.00,1390.00,1390.00
,1,1,2,BassBbmajorskyblue,1.00,1061.00,1061.00
,1,1,2,Cmajorred,1.00,1106.00,1106.00
,1,1,2,BassGmajorgreen,1.00,1164.00,1164.00
,1,1,2,BassFmajorgold,1.00,1302.00,1302.00
,1,1,2,BassAmajoryellow,1.00,1373.00,1373.00
,1,1,2,BassEmajorgrey,1.00,1384.00,1384.00
,1,1,2,BassAbmajoryellow,1.00,1687.00,1687.00
,1,1,2,BassDmajorblue,1.00,1720.00,1720.00
,1,1,2,BassEbmajorgreen,1.00,2684.00,2684.00
,1,0,3,Cyellow,1.00,813.00,813.00
,1,0,3,Bbyellow,1.00,930.00,930.00
,1,0,3,Fblue,1.00,1013.00,1013.00
,1,0,3,Agreen,1.00,1014.00,1014.00
,1,0,3,Ered,1.00,1055.00,1055.00
,1,0,3,Gskyblue,1.00,1107.00,1107.00
,1,0,3,Dgreen,1.00,1148.00,1148.00
,1,0,3,Ebgold,1.00,1165.00,1165.00
,1,0,3,Abgrey,1.00,1549.00,1549.00
,1,1,3,Ayellow,1.00,1176.00,1176.00
,1,1,3,Ggreen,1.00,827.00,827.00
,1,1,3,Abgold,1.00,965.00,965.00
,1,1,3,Dblue,1.00,1001.00,1001.00
,1,1,3,Ebgreen,1.00,1093.00,1093.00
,1,1,3,Egrey,1.00,1095.00,1095.00
,1,1,3,Bbskyblue,1.00,1097.00,1097.00
,1,1,3,Fgold,1.00,1234.00,1234.00
,1,1,3,Cred,1.00,830.00,830.00
,2,0,1,amajorburlywood.png,1.00,1290.00,1290.00
,2,0,1,gmajorgreen.png,1.00,1100.00,1100.00
,2,0,1,Abmajorfirebrick.png,1.00,1280.00,1280.00
,2,0,1,fmajormedblue.png,1.00,1097.00,1097.00
,2,0,1,cmajordarkslategrey.png,1.00,2230.00,2230.00
,2,0,1,emajorlightyellow.png,1.00,1420.00,1420.00
,2,0,1,dmajorgainsboro.png,1.00,2000.00,2000.00
,2,0,1,Ebmajoryellow.png,1.00,1375.00,1375.00
,2,0,1,Bbmajorred.png,1.00,1430.00,1430.00
,2,1,1,cmajorlightyellow.png,1.00,1371.00,1371.00
,2,1,1,amajoryellow.png,1.00,734.00,734.00
,2,1,1,fmajorburlywood.png,1.00,1190.00,1190.00
,2,1,1,emajorgreen.png,1.00,1130.00,1130.00
,2,1,1,dmajormedblue.png,1.00,956.00,956.00
,2,1,1,Ebmajordarkslategrey.png,1.00,1540.00,1540.00
,2,1,1,Abmajorgainsboro.png,1.00,1141.00,1141.00
,2,1,1,gmajorred.png,1.00,1337.00,1337.00
,2,1,1,Bbmajorfirebrick.png,1.00,2620.00,2620.00
,2,0,2,bassamajorburlywood.png,1.00,2036.00,2036.00
,2,0,2,bassfmajormedblue.png,1.00,1300.00,1300.00
,2,0,2,bassemajorlightyellow.png,1.00,1076.00,1076.00
,2,0,2,bassAbmajorfirebrick.png,1.00,1292.00,1292.00
,2,0,2,bassdmajorgainsboro.png,1.00,1139.00,1139.00
,2,0,2,basscmajordarkslategrey.png,1.00,3390.00,3390.00
,2,0,2,bassgmajorgreen.png,1.00,1730.00,1730.00
,2,0,2,bassEbmajoryellow.png,1.00,1350.00,1350.00
,2,0,2,bassBbmajorred.png,1.00,1549.00,1549.00
,2,1,2,bassAbmajorgainsboro.png,1.00,1060.00,1060.00
,2,1,2,bassEbmajordarkslategrey.png,1.00,1240.00,1240.00
,2,1,2,bassdmajormedblue.png,1.00,1220.00,1220.00
,2,1,2,bassamajoryellow.png,1.00,1013.00,1013.00
,2,1,2,bassgmajorred.png,1.00,1440.00,1440.00
,2,1,2,bassemajorgreen.png,1.00,1480.00,1480.00
,2,1,2,basscmajorlightyellow.png,1.00,1560.00,1560.00
,2,1,2,bassfmajorburlywood.png,1.00,1687.00,1687.00
,2,1,2,bassBbmajorfirebrick.png,1.00,2920.00,2920.00
,2,0,3,Aburlywood.png,1.00,1270.00,1270.00
,2,0,3,Ebyellow.png,1.00,2090.00,2090.00
,2,0,3,Dgainsboro.png,1.00,991.00,991.00
,2,0,3,Fmedblue.png,1.00,1094.00,1094.00
,2,0,3,Elightyellow.png,1.00,1240.00,1240.00
,2,0,3,Abfirebrick.png,1.00,1142.00,1142.00
,2,0,3,Cdarkslategrey.png,1.00,1235.00,1235.00
,2,0,3,Bbred.png,1.00,1890.00,1890.00
,2,0,3,Ggreen.png,1.00,1617.00,1617.00
,2,1,3,Fburly,1.00,1126.00,1126.00
,2,1,3,Clightyellow.png,1.00,1200.00,1200.00
,2,1,3,Abgainsboro.png,1.00,1080.00,1080.00
,2,1,3,Dmedblue.png,1.00,1032.00,1032.00
,2,1,3,Egreen.png,1.00,1080.00,1080.00
,2,1,3,Bbfirebrick.png,1.00,1616.00,1616.00
,2,1,3,Gred.png,1.00,1096.00,1096.00
,2,1,3,Ayellow.png,1.00,1290.00,1290.00
,2,1,3,Ebdarkslategrey.png,1.00,1593.00,1593.00
,3,0,1,Emajorlightpurple,1.00,3563.00,3563.00
,3,0,1,Fmajorlightgreen,1.00,1952.00,1952.00
,3,0,1,Cmajororangebrown,1.00,1256.00,1256.00
,3,0,1,Bbmajoryellow,1.00,1635.00,1635.00
,3,0,1,Abmajorgreen,1.00,2919.00,2919.00
,3,0,1,Ebmajorlightblue,1.00,1941.00,1941.00
,3,0,1,Dmajororangeyred,1.00,1965.00,1965.00
,3,0,1,Gmajorbrown,1.00,2658.00,2658.00
,3,1,1,Bbmajorbrown,1.00,1716.00,1716.00
,3,1,1,Abmajororangebrown,1.00,2611.00,2611.00
,3,1,1,Ebmajorsalmonbrown,1.00,3181.00,0.00
,3,1,1,Fmajorlightpurple,1.00,879.00,879.00
,3,1,1,Cmajorlightblue,1.00,840.00,840.00
,3,1,1,Dmajorlightgreen,1.00,1198.00,1198.00
,3,1,1,Gmajorgreen,1.00,1480.00,1480.00
,3,1,1,Emajororangeyred,1.00,2662.00,2662.00
,3,0,2,BassAbmajorgreen,1.00,1465.00,1465.00
,3,0,2,BassBbmajoryellow,1.00,1628.00,1628.00
