#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant code,Quantity,,
,VARIABLES,IDCODE,,[1 to 9],,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],Congruency,Single,,
,VARIABLES,Congruency,,0 to 1,,
,VALUES,0,Incongruent,0 to 0,,
,,1,Congruent,1 to 1,,
,,,,,,
,,,,,,
3,QUESTION,[...],"Treble, Bass, Word",Single,,
,VARIABLES,Mode,,1 to 3,,
,VALUES,1,Treble,1 to 1,,
,,2,Bass,2 to 2,,
,,3,Word,3 to 3,,
,,,,,,
,,,,,,
4,QUESTION,[...],Stimuli image,Open,,
,VARIABLES,STIMULI,open-ended verbatim,,,
,VALUES,,,,,
,,,,,,
,,,,,,
5,QUESTION,[...],Answer correct or incorrect,Single,,
,VARIABLES,Correctans,,1 to 2,,
,VALUES,1,Correct,1 to 1,,
,,2,Incorrect,2 to 2,,
,,,,,,
,,,,,,
6,QUESTION,[...],[...],Multiple,,
,VARIABLES,RToriginal,Reaction time original (ms),[0 to 4000],,
,,RTcorrected,Reaction time corrected for errors and 3SDs (ms),[0 to 4000],,
,VALUES,,,,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
