Variable,IDCODE,Mode,STIMULI,RT
Label,Participant code,"Treble, Bass, Word",Stimuli image,Reaction time (ms)
,13,2,BassCmajorcopy,804.00
,13,2,BassCmajor,1072.00
,13,2,BassFmajorcopy,1447.00
,13,2,BassGmajorcopy,1476.00
,13,2,BassAbmajorcopy,1744.00
,13,2,BassEmajorcopy,1872.00
,13,2,BassDmajor,2092.00
,13,2,BassFmajor,2210.00
,13,2,BassEmajor,2280.00
,13,2,BassGmajor,2292.00
,13,2,BassDmajorcopy,2300.00
,13,2,BassAmajorcopy,2360.00
,13,2,BassAmajor,2577.00
,13,2,BassAbmajor,2815.00
,13,2,BassBbmajor,3254.00
,11,2,BassFmajor,2706.00
,11,2,BassFmajor,1032.00
,11,2,BassBbmajor,2228.00
,11,2,BassBbmajor,1720.00
,11,2,BassEbmajor,2050.00
,11,2,BassEbmajor,2392.00
,11,2,BassDmajor,2338.00
,11,2,BassDmajor,1470.00
,11,2,BassAmajor,4943.00
,11,2,BassAmajor,2953.00
,11,2,BassCmajor,1894.00
,11,2,BassCmajor,1200.00
,11,2,BassGmajor,2010.00
,11,2,BassGmajor,1090.00
,11,2,BassAbmajor,3939.00
,11,2,BassAbmajor,2530.00
,11,2,BassEmajor,4260.00
,11,2,BassEmajor,2060.00
,12,2,BassFmajor,909.00
,12,2,BassFmajorcopy,991.00
,12,2,BassBbmajor,944.00
,12,2,BassBbmajorcopy,965.00
,12,2,BassEbmajorcopy,420.00
,12,2,BassEbmajor,1291.00
,12,2,BassDmajorcopy,769.00
,12,2,BassDmajor,1013.00
,12,2,BassAmajor,857.00
,12,2,BassAmajorcopy,858.00
,12,2,BassCmajor,964.00
,12,2,BassCmajorcopy,1141.00
,12,2,BassGmajorcopy,942.00
,12,2,BassGmajor,989.00
,12,2,BassAbmajor,1047.00
,12,2,BassAbmajorcopy,1059.00
,12,2,BassEmajor,850.00
,12,2,BassEmajorcopy,942.00
,16,2,BassDmajorcopy,839.00
,16,2,BassCmajorcopy,850.00
,16,2,BassAmajor,1082.00
,16,2,BassEmajorcopy,1106.00
,16,2,BassDmajor,1117.00
,16,2,BassCmajor,1190.00
,16,2,BassEbmajorcopy,1279.00
,16,2,BassFmajor,1292.00
,16,2,BassFmajorcopy,1325.00
,16,2,BassEbmajor,1368.00
,16,2,BassAbmajor,1374.00
,16,2,BassEmajor,1396.00
,16,2,BassAmajorcopy,1477.00
,16,2,BassAbmajorcopy,1570.00
,16,2,BassGmajor,1615.00
,16,2,BassBbmajorcopy,1658.00
,16,2,BassGmajorcopy,1779.00
,16,2,BassBbmajor,1910.00
,14,2,BassFmajorcopy,608.00
,14,2,BassFmajor,825.00
,14,2,BassBbmajor,700.00
,14,2,BassBbmajorcopy,1293.00
,14,2,BassEbmajorcopy,1001.00
,14,2,BassEbmajor,1291.00
,14,2,BassDmajor,713.00
,14,2,BassDmajorcopy,734.00
,14,2,BassAmajor,722.00
,14,2,BassAmajorcopy,966.00
,14,2,BassCmajorcopy,641.00
,14,2,BassCmajor,745.00
,14,2,BassGmajor,571.00
,14,2,BassGmajorcopy,814.00
,14,2,BassAbmajor,396.00
,14,2,BassAbmajorcopy,1639.00
,14,2,BassEmajorcopy,896.00
,14,2,BassEmajor,1024.00
,17,2,BassFmajor,1551.00
,17,2,BassCmajor,1290.00
,17,2,BassCmajorcopy,919.00
,17,2,BassDmajorcopy,1012.00
,17,2,BassAmajor,1215.00
,17,2,BassDmajor,1165.00
,17,2,BassGmajor,1745.00
,17,2,BassBbmajorcopy,1757.00
