#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant code,Quantity,,
,VARIABLES,IDCODE,,[11 to 17],,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],"Treble, Bass, Word",Single,,
,VARIABLES,Mode,,1 to 3,,
,VALUES,1,Treble,1 to 1,,
,,2,Bass,2 to 2,,
,,3,Word,3 to 3,,
,,,,,,
,,,,,,
3,QUESTION,[...],Stimuli image,Open,,
,VARIABLES,STIMULI,open-ended verbatim,,,
,VALUES,,,,,
,,,,,,
,,,,,,
4,QUESTION,[...],Reaction time (ms),Quantity,,
,VARIABLES,RT,,[294 to 4943],,
,VALUES,,,,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
