#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant ID,Open,,
,VARIABLES,ID,open-ended verbatim,,,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],Bass mean RT in ms,Quantity,,
,VARIABLES,BassMS,,"[865,5 to 2378,6]",,
,VALUES,,,,,
,,,,,,
,,,,,,
3,QUESTION,[...],Treble mean RT in ms,Quantity,,
,VARIABLES,TrebleMS,,"[781,9 to 2288,4]",,
,VALUES,,,,,
,,,,,,
,,,,,,
4,QUESTION,[...],Word mean RT in ms,Quantity,,
,VARIABLES,WordMs,,"[580,3 to 1289,1]",,
,VALUES,,,,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
