#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant ID,Quantity,,
,VARIABLES,ID,,[1 to 20],,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],Mean RT (ms),Quantity,,
,VARIABLES,MeanRT,,"[428,5 to 1216,9]",,
,VALUES,,,,,
,,,,,,
,,,,,,
3,QUESTION,[...],Error rate,Quantity,,
,VARIABLES,ER,,"[0 to 16,67]",,
,VALUES,,,,,
,,,,,,
,,,,,,
4,QUESTION,[...],Presentation Time,Single,,
,VARIABLES,Prestime,,1 to 3,,
,VALUES,1,500ms,1 to 1,,
,,2,56ms,2 to 2,,
,,3,28ms,3 to 3,,
,,,,,,
,,,,,,
5,QUESTION,[...],No of errors,Quantity,,
,VARIABLES,Noerrors,,[0 to 3],,
,VALUES,,,,,
,,,,,,
,,,,,,
6,QUESTION,[...],Synaesthete or control,Single,,
,VARIABLES,Syncon,,1 to 2,,
,VALUES,1,Synaesthete,1 to 1,,
,,2,Control,2 to 2,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
