#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant ID,Open,,
,VARIABLES,ID,open-ended verbatim,,,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],500ms,Quantity,,
,VARIABLES,@500ms,,"[428,5359 to 1002,6188]",,
,VALUES,,,,,
,,,,,,
,,,,,,
3,QUESTION,[...],56ms,Quantity,,
,VARIABLES,@56ms,,"[391,1289 to 856,2274]",,
,VALUES,,,,,
,,,,,,
,,,,,,
4,QUESTION,[...],28ms,Quantity,,
,VARIABLES,@28ms,,"[435,0576 to 801,1994]",,
,VALUES,,,,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
