Variable,ID,RT,ER,Pres,Con,ERperc
Label,Participant ID,Mean RT,Number of errors same and diff,Presentation time (ms),Congruency,Error rate as percentage
,1,534.59,0.00,1.00,1.00,0.00
,8,798.07,1.00,1.00,1.00,0.78
,3,926.86,0.00,1.00,1.00,0.00
,4,435.39,1.00,1.00,1.00,0.78
,9,519.92,0.00,1.00,1.00,0.00
,5,829.61,0.00,1.00,1.00,0.00
,6,1107.28,0.00,1.00,1.00,0.00
,7,1690.27,0.00,1.00,1.00,0.00
,1,607.14,2.00,1.00,2.00,1.56
,8,871.99,0.00,1.00,2.00,0.00
,3,908.57,0.00,1.00,2.00,0.00
,4,515.12,0.00,1.00,2.00,0.00
,9,595.88,0.00,1.00,2.00,0.00
,5,763.44,1.00,1.00,2.00,0.78
,6,1203.66,0.00,1.00,2.00,0.00
,7,1385.64,1.00,1.00,2.00,0.78
,1,607.14,1.00,2.00,1.00,0.98
,8,871.99,0.00,2.00,1.00,0.00
,3,908.57,0.00,2.00,1.00,0.00
,4,515.12,1.00,2.00,1.00,0.98
,9,595.88,0.00,2.00,1.00,0.00
,5,763.44,0.00,2.00,1.00,0.00
,6,1203.66,1.00,2.00,1.00,0.98
,7,1385.64,1.00,2.00,1.00,0.98
,1,524.91,0.00,2.00,2.00,0.00
,8,788.47,0.00,2.00,2.00,0.00
,3,867.51,0.00,2.00,2.00,0.00
,4,417.74,1.00,2.00,2.00,0.59
,9,406.92,2.00,2.00,2.00,1.17
,5,672.84,1.00,2.00,2.00,0.59
,6,870.11,0.00,2.00,2.00,0.00
,7,861.72,0.00,2.00,2.00,0.00
,1,389.16,2.00,3.00,1.00,1.56
,8,563.99,3.00,3.00,1.00,2.34
,3,781.96,0.00,3.00,1.00,0.00
,4,381.55,2.00,3.00,1.00,1.56
,9,299.16,0.00,3.00,1.00,0.00
,5,648.02,1.00,3.00,1.00,0.78
,6,862.19,1.00,3.00,1.00,0.78
,7,782.55,2.00,3.00,1.00,1.56
,1,562.53,0.00,3.00,2.00,0.00
,8,807.31,1.00,3.00,2.00,0.78
,3,822.40,0.00,3.00,2.00,0.00
,4,435.71,0.00,3.00,2.00,0.00
,9,353.34,2.00,3.00,2.00,1.56
,5,887.11,5.00,3.00,2.00,3.91
,6,920.23,1.00,3.00,2.00,0.78
,7,968.89,1.00,3.00,2.00,0.78
