Variable,ID,Pres500C,Pres500IC,Pres56C,Pres56IC,Pres28C,Pres28IC
Label,Participant ID,Presentation 500ms Congruent,Presentation 500ms Incongruent,Presentation 56ms Congruent,Presentation 56ms Incongruent,Presentation 28ms Congruent,Presentation 28ms Incongruent
,1,534.59,607.14,524.91,454.63,389.16,562.53
,8,798.07,871.99,788.47,914.44,563.99,807.31
,3,926.86,908.57,867.51,894.67,781.96,822.40
,4,435.39,515.12,417.74,454.03,381.55,435.71
,9,519.92,595.88,406.92,462.40,299.16,353.34
,5,829.61,763.44,672.84,699.75,648.02,887.11
,6,1107.28,1203.66,870.11,951.20,862.19,920.23
,7,1690.27,1385.64,861.72,1071.00,782.55,968.89
,,,,,,,
