Variable,ID,RT,ER,ERpercentage,Pres,Con
Label,Participant ID,Average RT,No of errors same and diff,Percentage error rate,Pres time,Congruency
,13,726.47,0.00,0.00,1.00,1.00
,14,778.12,0.00,0.00,1.00,1.00
,15,666.43,0.00,0.00,1.00,1.00
,16,773.51,0.00,0.00,1.00,1.00
,17,1060.86,0.00,0.00,1.00,1.00
,12,1273.72,0.00,0.00,1.00,1.00
,11,581.83,1.00,0.62,1.00,1.00
,13,677.47,0.00,0.00,1.00,2.00
,14,690.50,1.00,0.62,1.00,2.00
,15,617.59,0.00,0.00,1.00,2.00
,16,774.43,0.00,0.00,1.00,2.00
,17,1103.31,1.00,0.62,1.00,2.00
,12,1042.90,0.00,0.00,1.00,2.00
,11,602.52,1.00,0.62,1.00,2.00
,13,418.91,0.00,0.00,2.00,1.00
,14,743.87,0.00,0.00,2.00,1.00
,15,550.37,0.00,0.00,2.00,1.00
,16,707.56,2.00,1.23,2.00,1.00
,17,1060.86,2.00,1.23,2.00,1.00
,12,790.28,0.00,0.00,2.00,1.00
,11,528.55,2.00,1.23,2.00,1.00
,13,574.50,0.00,0.00,2.00,2.00
,14,697.48,1.00,0.62,2.00,2.00
,15,553.27,0.00,0.00,2.00,2.00
,16,703.61,2.00,1.23,2.00,2.00
,17,1103.31,3.00,1.85,2.00,2.00
,12,834.08,0.00,0.00,2.00,2.00
,11,546.26,1.00,0.62,2.00,2.00
,13,553.34,0.00,1.24,3.00,1.00
,14,743.87,2.00,1.24,3.00,1.00
,15,463.11,0.00,0.00,3.00,1.00
,16,636.08,1.00,0.62,3.00,1.00
,17,783.17,2.00,1.24,3.00,1.00
,12,639.85,1.00,0.62,3.00,1.00
,11,520.25,1.00,0.62,3.00,1.00
,13,490.24,3.00,0.62,3.00,2.00
,14,872.50,0.00,0.00,3.00,2.00
,15,467.18,0.00,0.00,3.00,2.00
,16,712.45,0.00,0.00,3.00,2.00
,17,809.83,1.00,0.62,3.00,2.00
,12,1042.90,0.00,0.00,3.00,2.00
,11,471.86,0.00,0.00,3.00,2.00
