#,Content,Reference,Text,Type / Range*,,Comment
1,QUESTION,[...],Participant ID,Open,,
,VARIABLES,ID,open-ended verbatim,,,
,VALUES,,,,,
,,,,,,
,,,,,,
2,QUESTION,[...],Average RT,Quantity,,
,VARIABLES,RT,,"[418,91 to 1273,72]",,
,VALUES,,,,,
,,,,,,
,,,,,,
3,QUESTION,[...],No of errors same and diff,Quantity,,
,VARIABLES,ER,,[0 to 3],,
,VALUES,,,,,
,,,,,,
,,,,,,
4,QUESTION,[...],Percentage error rate,Quantity,,
,VARIABLES,ERpercentage,,"[0 to 1,8514]",,
,VALUES,,,,,
,,,,,,
,,,,,,
5,QUESTION,[...],Pres time,Single,,
,VARIABLES,Pres,,1 to 3,,
,VALUES,1,500ms,1 to 1,,
,,2,56ms,2 to 2,,
,,3,28ms,3 to 3,,
,,,,,,
,,,,,,
6,QUESTION,[...],Congruency,Single,,
,VARIABLES,Con,,1 to 2,,
,VALUES,1,Congruent,1 to 1,,
,,2,Incongruent,2 to 2,,
,,,,,,
,,,,,,
* -,"A special column for quickly transforming this source into ready-to-use reports, using the N'table tabulation software.",,,,,
